keys,en,de
credits,Credits here,Credits hier
new_game,New Game,Neues Spiel
continue,Continue,Fortfahren
settings,Game Settings,Einstellungen
leave_game,Leave game,Spiel verlassen
return_to_main,Return to main menu,Zum Hauptmenü
return_to_menu,Back to menu,Zurück
settings_volume_master_enabled,Master Enabled,Lautstärke an
settings_volume_master,Master Volume,Lautstärke (Allgemein)
settings_volume_music_enabled,Music enabled,Musik an
settings_volume_music,Music Volume,Musik Lautstärke
settings_volume_sound_enabled,Sound enabled,Sound an
settings_volume_sound,Sound Volume,Sound Lautstärke
settings_language,Game Language,Spielsprache
game_paused,Game paused,Spiel pausiert
resume_game,Resume game,Weiterspielen
INTRO_01, "6:00 AM, Hoher Meißner 12b, 37290 Nimmerland. ... or Hesse", "6:00 AM, Hoher Meißner 12b, 37290 Nimmerland. ... bzw. Hessen"
INTRO_02, "Fuuuuuck me. Uuuuggh! I. Don't. Wanna! FK!!!", "Gar kein Bock. Man, ey! Gar. Kein. Bock!"
INTRO_03, "Used to be I had help around... Kids to air the bedclothes, give the cushions a good shake...", "Früher war echt alles besser! Kinder da, die die Betten aufschütteln, Brot ausm Ofen ziehn, Äpfel aufräumen, ..."
INTRO_04, "Used to be kids fell in wells... The youth, anyways!!!", "Warum so wenig Kinder heutzutage mehr in Brunnen fallen. Überhaupt, die Jugend!!"
INTRO_05, "Those were the times where you could teach them something. And all that free labour!", "Da konnt man den Kindern noch was beibringen! Und all die freie Arbeitskraft!"
INTRO_06, "Aw maaan! We're [wave]snowed-in!![/wave] We need to shovel all that shit to get home...", "Boa, nee, man. Alles [wave]snowed-in!![/wave] Voll kacke, ey. Gar kein Bock das alles freizuschaufeln damit wir fahren können..."
INTRO_07, "The fuck did I just hear???", "Was zum fick hören meine Ohren da???"
INTRO_08, "You guys are going nowhere today! Your day is done!!", "Ihr fahrt nirgends hin! Euer Tag ist hiermit gelaufen!!"
INTRO_09, "Snow shovels?! My natural enemy! Just you wait, there is more snow where this came from!", "Schneeschaufeln?! Mein natürlicher Freind! Wartet nur, wo der Schnee herkommt gibts noch mehr!!"
INTRO_10, "Take this!", "Nehmt das!"
INTRO_11, "What did I tell you? It's just not like it used to be back in the days, they throw in the towel right away. They don't know honest work anymore!", "Sag ich doch. Einfach nicht mehr wie früher, gleich aufgeben. Wissen einfach nicht mehr was richtige Arbeit ist!"
INTRO_12, "Oho! Now we're talking! Then I'll bring bigger guns, too!", "Oha! Jetzt aber! Dann muss ich wohl härtere Geschütze auffahren!"
INTRO_13, "Okay, you want to get down to business? Let's do business! I'll show you what damage these old bones can do!", "Okay, ihr wollt Ernst? Ihr kriegt Ernst! Ich zeig euch was diese alten Knochen noch können!"
INTRO_13, "Frosty, Shivers, Ice and Hail! Let's go, my lovelies!", "Frosti, Bibber, Eis und Hagel! Los geht's meine Lieben!"
